Norway  Period fertility rates by calendar year and age (1846 - 1967: age reached during the year (ARDY); 1967 - 2022: Lexis squares  age in completed years (ACY))		
1846 - 1967: Data from Burnborg & Mamalund (1994). Kohort og periodefruktbarhet I Norge 1820-1993: Statistics Norway; 1967 - 2022 Human Fertility Database. MPIDR & VID (data downloaded 02.08.2023)		
Year	Age 	ASFR
1857	16	0.01283
1857	17	0.00673
1857	18	0
1857	19	0.00651
1857	20	0.03153
1857	21	0.06482
1857	22	0.10239
1857	23	0.13583
1857	24	0.16299
1857	25	0.18261
1857	26	0.19562
1857	27	0.20731
1857	28	0.21848
1857	29	0.22728
1857	30	0.23332
1857	31	0.23668
1857	32	0.23752
1857	33	0.23663
1857	34	0.23411
1857	35	0.22976
1857	36	0.22347
1857	37	0.21477
1857	38	0.20358
1857	39	0.18972
1857	40	0.17301
1857	41	0.15268
1857	42	0.12892
1857	43	0.10314
1857	44	0.07638
1857	45	0.05181
1857	46	0.03074
1857	47	0.01566
1857	48	0.00672
1857	49	0.00196
1857	50+	0
1858	14-	0
1858	15	0.01369
1858	16	0.01299
1858	17	0.00673
1858	18	0
1858	19	0.00642
1858	20	0.03197
1858	21	0.06601
1858	22	0.10447
1858	23	0.13871
1858	24	0.16649
1858	25	0.18654
1858	26	0.19981
1858	27	0.21173
1858	28	0.22313
1858	29	0.23211
1858	30	0.23829
1858	31	0.24174
1858	32	0.24265
1858	33	0.24179
1858	34	0.23929
1858	35	0.23491
1858	36	0.22849
1858	37	0.21963
1858	38	0.20819
1858	39	0.194
1858	40	0.17687
1858	41	0.15607
1858	42	0.13176
1858	43	0.10538
1858	44	0.07802
1858	45	0.05291
1858	46	0.03138
1858	47	0.01599
1858	48	0.00686
1858	49	0.002
1858	50+	0
1859	14-	0
1859	15	0.01443
1859	16	0.01378
1859	17	0.00733
1859	18	0
1859	19	0.00708
1859	20	0.03372
1859	21	0.06919
1859	22	0.10922
1859	23	0.14489
1859	24	0.17385
1859	25	0.19478
1859	26	0.20866
1859	27	0.22114
1859	28	0.23307
1859	29	0.24249
1859	30	0.24896
1859	31	0.25257
1859	32	0.25349
1859	33	0.25256
1859	34	0.24988
1859	35	0.24527
1859	36	0.23855
1859	37	0.22928
1859	38	0.21733
1859	39	0.20253
1859	40	0.18467
1859	41	0.16298
1859	42	0.1376
1859	43	0.11008
1859	44	0.08152
1859	45	0.0553
1859	46	0.0328
1859	47	0.01672
1859	48	0.00718
1859	49	0.0021
1859	50+	0
1860	14-	0
1860	15	0.01379
1860	16	0.01304
1860	17	0.0067
1860	18	0
1860	19	0.00656
1860	20	0.03249
1860	21	0.06679
1860	22	0.10535
1860	23	0.13962
1860	24	0.16741
1860	25	0.18748
1860	26	0.2008
1860	27	0.21284
1860	28	0.22439
1860	29	0.23354
1860	30	0.23986
1860	31	0.2434
1860	32	0.24431
1860	33	0.2434
1860	34	0.24081
1860	35	0.23633
1860	36	0.22981
1860	37	0.22085
1860	38	0.20933
1860	39	0.19506
1860	40	0.17786
1860	41	0.15697
1860	42	0.13254
1860	43	0.10604
1860	44	0.07855
1860	45	0.05331
1860	46	0.03164
1860	47	0.01615
1860	48	0.00694
1860	49	0.00204
1860	50+	0
1861	14-	0
1861	15	0.01292
1861	16	0.01236
1861	17	0.00658
1861	18	0
1861	19	0.00625
1861	20	0.02996
1861	21	0.0616
1861	22	0.09738
1861	23	0.12928
1861	24	0.15521
1861	25	0.17398
1861	26	0.18648
1861	27	0.19773
1861	28	0.20849
1861	29	0.21699
1861	30	0.22283
1861	31	0.22609
1861	32	0.22693
1861	33	0.22609
1861	34	0.22369
1861	35	0.21953
1861	36	0.21349
1861	37	0.20517
1861	38	0.19445
1861	39	0.18119
1861	40	0.16519
1861	41	0.14576
1861	42	0.12308
1861	43	0.09844
1861	44	0.07289
1861	45	0.04945
1861	46	0.02933
1861	47	0.01494
1861	48	0.00641
1861	49	0.00187
1861	50+	0
1862	14-	0
1862	15	0.01346
1862	16	0.01278
1862	17	0.0067
1862	18	0
1862	19	0.00669
1862	20	0.03195
1862	21	0.06538
1862	22	0.10301
1862	23	0.13649
1862	24	0.16364
1862	25	0.18327
1862	26	0.19632
1862	27	0.2081
1862	28	0.21939
1862	29	0.22831
1862	30	0.23446
1862	31	0.23786
1862	32	0.23871
1862	33	0.23778
1862	34	0.2352
1862	35	0.23078
1862	36	0.22438
1862	37	0.21559
1862	38	0.20431
1862	39	0.19035
1862	40	0.17355
1862	41	0.15314
1862	42	0.12928
1862	43	0.10341
1862	44	0.07657
1862	45	0.05193
1862	46	0.0308
1862	47	0.01568
1862	48	0.00673
1862	49	0.00196
1862	50+	0
1863	14-	0
1863	15	0.01386
1863	16	0.0131
1863	17	0.00671
1863	18	0
1863	19	0.00648
1863	20	0.03249
1863	21	0.06696
1863	22	0.10575
1863	23	0.14024
1863	24	0.1682
1863	25	0.18839
1863	26	0.20177
1863	27	0.21384
1863	28	0.22539
1863	29	0.23453
1863	30	0.24085
1863	31	0.24437
1863	32	0.24529
1863	33	0.2444
1863	34	0.24182
1863	35	0.23736
1863	36	0.23086
1863	37	0.2219
1863	38	0.21035
1863	39	0.19605
1863	40	0.17878
1863	41	0.1578
1863	42	0.13326
1863	43	0.10662
1863	44	0.07897
1863	45	0.05358
1863	46	0.03179
1863	47	0.01621
1863	48	0.00696
1863	49	0.00204
1863	50+	0
1864	14-	0
1864	15	0.01356
1864	16	0.01288
1864	17	0.00671
1864	18	0
1864	19	0.00651
1864	20	0.03184
1864	21	0.06557
1864	22	0.10367
1864	23	0.13756
1864	24	0.16504
1864	25	0.18485
1864	26	0.19794
1864	27	0.2097
1864	28	0.22095
1864	29	0.22982
1864	30	0.23592
1864	31	0.23932
1864	32	0.24024
1864	33	0.23941
1864	34	0.23695
1864	35	0.23263
1864	36	0.22628
1864	37	0.21752
1864	38	0.20619
1864	39	0.19214
1864	40	0.17516
1864	41	0.15454
1864	42	0.13046
1864	43	0.10434
1864	44	0.07725
1864	45	0.05239
1864	46	0.03108
1864	47	0.01584
1864	48	0.0068
1864	49	0.00199
1864	50+	0
1865	14-	0
1865	15	0.01353
1865	16	0.01288
1865	17	0.00675
1865	18	0
1865	19	0.00641
1865	20	0.0314
1865	21	0.06471
1865	22	0.10237
1865	23	0.13592
1865	24	0.16316
1865	25	0.18286
1865	26	0.19594
1865	27	0.2077
